260.657,134.78,92.5467,70.4929,57.0009,47.895,41.4701,36.688,33.0954,30.5179,28.827,28.496,30.2442,31.7109,32.4893,32.895,32.1254,31.6372,31.5823,31.5036,31.4983,31.6518,31.8063,31.7352,31.5815,31.3838,31.2766,31.1941,31.0984,30.9759,30.8823,30.8046
133.102,70.3172,47.9781,36.5708,29.701,25.0914,21.8129,19.3521,17.4962,16.3466,16.6848,17.6183,17.0537,16.5483,15.9004,15.8463,15.7385,17.0945,17.0946,17.0233,17.0574,16.9569,16.8149,16.7164,16.6511,16.5835,16.5101,16.4545,16.3943,16.3466,16.2973,16.2591
90.2831,48.1539,32.8725,25.1807,20.5137,17.4085,15.1982,13.6061,12.5854,13.8832,14.7799,13.5287,12.5078,12.707,13.841,13.6441,13.6247,13.6635,13.5932,13.4719,13.3591,13.1568,13.2944,13.3216,13.1401,13.0626,13.0717,13.012,12.8858,12.8442,12.8231,12.7542
69.734,36.7079,25.0528,19.1561,15.6366,13.2289,11.5325,10.2201,13.5552,12.1985,11.0986,10.1663,9.40261,9.16996,9.61734,9.79936,10.7671,10.1674,9.63706,9.22605,9.04858,9.07586,9.22544,9.31141,9.76397,9.45014,9.25137,9.15594,9.16686,9.22496,9.29185,9.32603
56.4026,29.4126,20.1259,15.5296,12.7043,10.8645,13.9517,12.2002,10.8546,9.75175,9.06708,9.89049,11.2897,10.4646,9.76098,9.15732,9.03535,9.54155,9.79478,9.75436,9.30266,9.06427,9.4377,9.76818,9.94382,9.42436,9.08975,8.85605,8.78098,8.87083,8.95864,9.03008
47.9289,24.8065,16.9411,13.0764,10.7113,13.568,11.6245,10.175,9.04389,8.12502,11.1303,10.184,9.40716,8.73065,8.13888,7.77146,9.57176,9.03944,8.56545,8.13618,7.85983,9.29933,8.87334,8.5049,8.16777,7.86983,9.09836,8.76325,8.46303,8.20682,7.95164,7.79723
41.4643,21.4115,14.7476,11.3828,13.9546,11.6252,9.96541,8.71679,7.73517,10.498,9.53513,8.73593,8.05702,9.97752,9.30402,8.72205,8.20755,7.75253,9.24183,8.75446,8.341,7.96297,9.16042,8.76587,8.41795,8.09884,7.80544,8.75157,8.4396,8.16294,7.9017,7.66439
36.5428,18.8572,12.9526,10.0581,12.2108,10.1799,8.72733,7.63832,10.1988,9.18215,8.35188,7.65652,9.40663,8.73851,8.15601,7.65042,9.02503,8.52753,8.0834,7.68243,8.78137,8.38475,8.02507,7.69837,8.57484,8.24725,7.94613,7.66671,8.44618,8.17042,7.90765,7.66539
32.6662,16.5679,11.4536,13.5624,10.8546,9.04862,7.75926,10.2189,9.07624,8.17009,9.90318,9.07074,8.37356,7.78077,9.12659,8.53816,8.04387,9.13647,8.64293,8.21086,7.82871,8.68739,8.29588,7.95408,8.72172,8.38436,8.07593,7.7933,8.48169,8.19889,7.93946,7.69487
29.5369,14.7923,10.236,12.195,9.7588,8.13767,10.5059,9.18342,8.16689,9.7989,8.90458,8.16125,9.47895,8.78667,8.1999,7.69211,8.69589,8.21424,7.78826,8.60025,8.1783,7.80861,8.53191,8.17406,7.85061,8.51668,8.20055,7.91145,8.53317,8.24754,7.98347,7.74006
